#CODE;ENGLISH;;;;;;;;;x 
saoshyant_desc;This character is the Saoshyant, the promised savior of the world and a holy icon according to the Zoroastrian belief.;;;;;;;;;x 
saoshyant_descendant;Saoshyant Descendant;;;;;;;;;x 
saoshyant_descendant_desc;This character is a descendant of the Saoshyant, who was the savior of the world according to the Zoroastrian belief.;;;;;;;;;x 
become_saoshyant;Become the Saoshyant;;;;;;;;;x 
become_saoshyant_desc;If you can drive out the Muslims and restore Zoroastrian rule over the entirety of the Persian Empire, you may declare yourself to be Zoroaster's prophesied Saoshyant ?the chosen savior of the world.;;;;;;;;;x 
EVTDESC_TOG_6003;Persia has been a bastion of Islam ever since the Sassanid Empire fell to the Arab invasions of the 7th century, but now, in what can only be described as a miraculous recovery, the land has been united under Zoroastrian rule once more. Under the leadership of [From.GetTitledFirstName], the Muslim overlords of Persia have been killed, driven out or converted to the Zoroastrian faith.\n\nZoroastrians everywhere now hail [From.GetFirstName] as the “Saoshyant,?the divine savior who delivered them from the darkness as prophesied by Zoroaster himself thousands of years ago. Is this the beginning of a new Zoroastrian golden age, or is it, as some believe, a sign of the End Time?;;;;;;;;;x 
EVTOPTA_TOG_6003;Praised be the Saoshyant!;;;;;;;;;x 
EVTOPTB_TOG_6003;Heathens, all of them!;;;;;;;;;x 
EVTOPTC_TOG_6003;We must rid Persia of infidels again!;;;;;;;;;x 
restore_priesthood;Restore the High Priesthood;;;;;;;;;x 
restore_priesthood_desc;If the Zoroastrian faith makes a return as the state religion of Persia, the time will be ripe for the reinstitution of the office of the Priest of Priests: the Moabadan-Moabad.;;;;;;;;;x 
EVTNAME_TOG_6004;Return of the High Priest;;;;;;;;;x 
EVTDESC_TOG_6004;After an interlude lasting a few centuries following the Arab conquests, Zoroastrianism has returned as the state religion of Persia. [From.GetTitledFirstName] has ordered the reinstitution of the office of the Moabadan-Moabad, or the “Priest of Priests.”\n\nThe Moabadan-Moabad will serve as the highest religious authority in the Zoroastrian world, with powers ranging from the blessing of future military expeditions to the granting of divorces to married couples.;;;;;;;;;x 
EVTOPTA_TOG_6004;Rejoice!;;;;;;;;;x 
EVTOPTB_TOG_6004;Heathens!;;;;;;;;;x 
EVTOPTC_TOG_6004;Infidels!;;;;;;;;;x 
REL_HOLY_SITES;Holy Sites;;;;;;;;;x 
title_yabgu;Yabgu;;;;;;;;;x 
title_yabgu_desc;By tradition, the title of Yagbu is bestowed upon the second highest member of a ruling clan, often a brother of the Khan. It carries a great deal of respect.;;;;;;;;;x 
title_ishad;Ishad;;;;;;;;;x 
title_ishad_desc;Ishad is the title given to the highest ranking generals, and as such, it may be regarded as a mark of honor.;;;;;;;;;x 
title_kundur;Kündür;;;;;;;;;x 
title_kundur_desc;The Kündur is traditionally a high ranking official in the Khan's court, and bestowing it on someone is a sign of approval.;;;;;;;;;x 
job_spiritual_orthodox;Ecclesiarch;;;;;;;;;x 
EVTDESC91240;After a brutal civil war, the decadent dynasty of my former liege has finally been overthrown by the [Root.Liege.GetOnlyDynastyName] clan. In the transitional chaos, I could probably get away with a declaration of independence...;;;;;;;;;x 
EVTOPTA91240;Stay Loyal;;;;;;;;;x 
EVTOPTB91240;Freedom!;;;;;;;;;x 
EVTDESC62101;After a successful siege, your men drag §Y[From.GetTitledName]? out of [From.GetHerHis] hiding hole.;;;;;;;;;x 
EVTOPTA62101;Off to the dungeons with [From.GetHerHim]!;;;;;;;;;x 
raised_runestone;Raised Runestone;;;;;;;;;x 
EVTDESC_TOG_680;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. When [From.GetSheHe] sees the dangling noose about to be placed around [From.GetHerHis] neck, [From.GetSheHe] pushes the nearest guard aside and makes a desperate run for it, but to no avail. Your men drag [From.GetHerHim] kicking and screaming back to the temple.;;;;;;;;;x 
EVTDESC_TOG_681;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. Even as the noose is placed around [From.GetHerHis] neck, [From.GetFirstName] stares vacantly ahead without betraying any emotion whatsoever. It would seem [From.GetSheHe] has accepted [From.GetHerHis] fate.;;;;;;;;;x 
EVTDESC_TOG_682;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. As soon as [From.GetSheHe] spots you among those gathered nearby, [From.GetSheHe] hurls insults and spittle your way, continuing even as the noose is placed around [From.GetHerHis] neck. The hatred in [From.GetHerHis] eyes cannot be mistaken.;;;;;;;;;x 
EVTDESC_TOG_3300;As your men return from looting the holding, one of them hands you an axe with a strange purple sheen and a plus etched into the handle, followed by the number two. After weighing it carefully in your hands, you toss aside your old, grey axe in favor of the new weapon.;;;;;;;;;x 
EVTOPTA_TOG_3300;I feel stronger.;;;;;;;;;x 
EVTDESC7701;Through my sources I have learned that our mutual problem will be touring a city in an open carriage. The guards will keep a close watch on the streets, but will they expect bowmen on the rooftops?;;;;;;;;;x 
EVTDESC7721;Watching the animal pens outside [Root.Location.GetName] gave me an idea. Concentrated manure can be a very explosive substance, and if enough is gathered in a single place and ignited, the blast could prove lethal...;;;;;;;;;x 
EVTDESC7741;If that whelp we are plotting against is to die, we will need to buy the loyalty of someone unscrupulous nearby, like a maid or a guard.;;;;;;;;;x 
EVTDESC7761;The fact that the target of our plot is in prison can work to our advantage. If we could get someone on the inside to deal with our little problem and make it look like a failed escape attempt...;;;;;;;;;x 
EVTDESC7781;The target of our plot may be a drooling, incapable mess, but it is still a very much alive drooling, incapable mess. Every month servants give our little problem a sorely needed bath, during which so many things could go wrong... especially if those servants were in our employ.;;;;;;;;;x 
EVTDESC7801;Whispers have reached my ears that the target of the plot I am backing is due to embark on a little boat trip. I have it on good authority that the child has not yet learned to swim. If the boat was to flounder... well, these things happen all the time, don't they?;;;;;;;;;x 
EVTDESC7821;There are snakes out there who can fell a grown man instantly with a single bite. If such a viper was to make a visit to a certain someone's bedchambers at night...;;;;;;;;;x 
EVTDESC7841;I have learned that our mutual problem likes to take in the morning air on a balcony. The fall would be a long one indeed if someone was to take a tumble from there... perhaps the railing could be adjusted slightly.;;;;;;;;;x 
EVTDESC7861;The young nuisance we are plotting against will soon be going on hunting trip to learn about the majesty of the wilds. With hounds and other dangerous beasts running around, not to mention arrows flying in every direction, so many things could go wrong during a hunt...;;;;;;;;;x 
EVTDESC7881;The target of the plot I am backing will soon travel by carriage on an isolated road. Perhaps if we gathered some mercenaries and disguised them as highwaymen... crime is on the rise, after all.;;;;;;;;;x 
EVTDESC7901;The target we are plotting against will soon embark on a lengthy journey by carriage, during which so many things could go wrong. If we could buy the loyalty of the carriage driver...;;;;;;;;;x 
EVTDESC262;During the battle, you fearlessly charged ahead on horseback directly into the enemy ranks. Members of your personal guard riding beside you tumbled off their horses as enemy arrows found their marks, but your charge plowed straight into the enemy skirmishers and your sword ran red with their blood.;;;;;;;;;x 
EVTDESC263;While riding ahead with your personal guard, you suddenly found yourselves isolated on the battlefield and surrounded by enemy soldiers. A violent melee ensued but you gave a good account of yourself and managed to return to the main body of your army in time to lead it to victory.;;;;;;;;;x 
EVTDESC264;You were in the thick of it during the battle, and your tally of slain enemy soldiers has impressed even the most grizzled sergeants in your army. As you clean the blood splatter off your sword and armor, the men cheer you for the bravery you displayed in securing this victory.;;;;;;;;;x 
EVTDESC265;Using your foot as leverage, you pull your sword out of the dead corpse of the last foeman to fall by your hand in the battle. All around you, the men are cheering as the routing enemy soldiers flee in wild panic. Victory has been achieved, in large part thanks to your heroic efforts!;;;;;;;;;x 
EVTDESC266;Your commanding presence on the battlefield was felt during the recent victory, by friends and foes alike. You bolstered the spirits of the men when it was needed most, and you personally led the final charge that broke the back of the enemy army.;;;;;;;;;x 
EVTDESC267;As the enemy scurries away from the battlefield like frightened rabbits, you wipe the sweat off your brow and watch in silence. It was a hard-fought melee, and you were in the thick of it, personally leading your men to victory. Not only have you won this battle, but also a great deal of respect.;;;;;;;;;x 
EVTOPTA262;Songs will be sung of this day.;;;;;;;;;x 
EVTDESC_TOG_3301;A strange chest made of an unknown metal was recovered by your men while they looted the holding. Try as they might, they haven't been able to force the chest open and its contents remain a mystery. It has now been deposited into your care.;;;;;;;;;x 
EVTOPTA_TOG_3301;One day, that chest will be opened. Mark my words.;;;;;;;;;x 
EVTDESC_TOG_3302;While looting the holding, one of your men came upon a strange looking key made of an unknown metal. As you examine it, the metal reminds you of that mysterious chest you recovered earlier. Perhaps there is a connection!;;;;;;;;;x 
EVTOPTA_TOG_3302;Let us see if the key will fit!;;;;;;;;;x 
EVTDESC_TOG_3303;While looting the holding, one of your men came upon a strange looking key made of an unknown metal. You have only seen such a metal once before ?that mysterious chest that has been inherited and passed along in your family. It's still gathering dust somewhere in your chambers... could this be the key that opens it?;;;;;;;;;x 
EVTOPTA_TOG_3303;Let us find out! ;;;;;;;;;x 
EVTDESC_TOG_3306;The key fits the lock, and trembling with anticipation you slowly open the chest. It is filled with ancient gold coins, carved with the likeness of the long-dead Emperors of Rome and words written in their strange language!;;;;;;;;;x 
EVTOPTA_TOG_3306;A small fortune!;;;;;;;;;x 
EVTDESC_TOG_3307;The key fits the lock, and trembling with anticipation you slowly open the chest. Disappointingly, it contains only a few parched scrolls that crumble into dust at your touch. Whatever wisdom they held has been forever lost to the world.;;;;;;;;;x 
EVTOPTA_TOG_3307;Just my luck.;;;;;;;;;x 
EVTDESC_TOG_3308;The key fits the lock, and trembling with anticipation you slowly open the chest. Sadly, it is filled with nothing but worthless baubles and various trinkets. There is not a trace of gold to be found here, but the contents of the chest could probably be traded away for a few coins at least.;;;;;;;;;x 
EVTOPTA_TOG_3308;Better than nothing, I suppose.;;;;;;;;;x 
EVTDESC_TOG_3309;The key fits the lock, and you slowly open the chest. It contains nothing but dust! As you run your hand through it, strange lights begin to manifest in the room and you close your eyes when the first ghostly apparitions appear. You hear the screams of your guards, and when you finally open your eyes again, the spectres are gone... and your guards have been reduced to ash.;;;;;;;;;x 
EVTOPTA_TOG_3309;This... this chest needs to be buried...;;;;;;;;;x 
opens_chest;You hurry to the chest...;;;;;;;;;x 
found_chest;You stow the chest safely away for now.;;;;;;;;;x 
chest_empty;You walk away disappointed.;;;;;;;;;x 
seraphims;You have the chest buried and vow never to speak a word of it to another soul.;;;;;;;;;x 
d_galloway_adj_welsh;Strathclyde;;;;;;;;;x 
EVTDESC_TOG_3320;The pillaging and looting undertaken in your name has earned you a reputation as a fearsome Viking raider. All along the coasts of Europe, mothers tucking their children in for the night warn that unless they behave, the terrible [Root.GetFirstName], scourge of the seas, will come ashore with his undead warriors and eat them.;;;;;;;;;x 
EVTOPTA_TOG_3320;I like the sound of that!;;;;;;;;;x 
viking;Viking;;;;;;;;;x 
viking_desc;This character has earned a reputation as a fearsome Viking raider.;;;;;;;;;x 
EVTNAME39640;The Rise of the Shi'a;;;;;;;;;x 
EVTDESC39640;The schism at the heart of Islam dates back to its earliest days. The majority Sunnis have long persecuted the followers of Ali, the Shias, forcing them into hiding. The partisans of Ali look to his descendants for leadership, but they are forced to keep their ancestry secret. Now though, the Shias are mobilizing their strength behind a boy whom they claim to be Ali's rightful heir and Imam. Other Islamic jurists claim that the boy is clearly a fraud, but to his followers he is the person they have been waiting for and now they flock to his banner.;;;;;;;;;x 
